team1,team2,toss_winner,venue,winner,team1_matches_played,team1_wins,team1_win_percentage,team1_recent_form,team1_total_runs,team1_balls_faced,team1_strike_rate,team1_wickets,team1_balls_bowled,team1_economy,team2_matches_played,team2_wins,team2_win_percentage,team2_recent_form,team2_total_runs,team2_balls_faced,team2_strike_rate,team2_wickets,team2_balls_bowled,team2_economy,win_percentage_diff,recent_form_diff,strike_rate_diff,economy_diff,wickets_diff
Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,270,132,48.888888888888886,4,43275,31736,136.3593395512982,1588,31896,8.165349887133182,264,135,51.13636363636363,2,41333,30895,133.7854021686357,1545,31169,7.962141871731529,-2.2474747474747474,2,2.573937382662507,0.20320801540165334,43
Punjab Kings,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,264,119,45.07575757575758,2,42861,31510,136.02348460806093,1508,31068,8.286404016994979,252,142,56.34920634920635,2,41070,30395,135.1209080440862,1564,30210,7.878252234359484,-11.27344877344877,0,0.9025765639747192,0.40815178263549523,-56
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi Capitals,267,118,44.19475655430712,1,41696,31401,132.7855800770676,1576,31610,8.098576399873458,235,114,48.51063829787234,2,37361,27922,133.80488503688846,1345,28194,8.071504575441583,-4.315881743565221,-1,-1.0193049598208574,0.027071824431875058,231
Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,264,135,51.13636363636363,2,41333,30895,133.7854021686357,1545,31169,7.962141871731529,75,29,38.66666666666666,2,11463,9034,126.8873145893292,446,9039,7.711915034848988,12.469696969696976,0,6.898087579306505,0.25022683688254066,1099
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium,Royal Challengers Bangalore,277,151,54.51263537906137,2,45087,33322,135.3070043814897,1707,33427,7.899961109282914,270,132,48.888888888888886,4,43275,31736,136.3593395512982,1588,31896,8.165349887133182,5.623746490172486,-2,-1.052335169808515,-0.2653887778502684,119
Rajasthan Royals,Punjab Kings,Punjab Kings,Sawai Mansingh Stadium,Rajasthan Royals,235,114,48.51063829787234,2,37361,27922,133.80488503688846,1345,28194,8.071504575441583,264,119,45.07575757575758,2,42861,31510,136.02348460806093,1508,31068,8.286404016994979,3.4348807221147624,0,-2.2185995711724615,-0.21489944155339558,-163
Deccan Chargers,Delhi Capitals,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,75,29,38.66666666666666,2,11463,9034,126.8873145893292,446,9039,7.711915034848988,267,118,44.19475655430712,1,41696,31401,132.7855800770676,1576,31610,8.098576399873458,-5.528089887640462,1,-5.8982654877384135,-0.38666136502447035,-1130
Chennai Super Kings,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,252,142,56.34920634920635,2,41070,30395,135.1209080440862,1564,30210,7.878252234359484,277,151,54.51263537906137,2,45087,33322,135.3070043814897,1707,33427,7.899961109282914,1.836570970144976,0,-0.18609633740348386,-0.021708874923429988,-143
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,75,29,38.66666666666666,2,11463,9034,126.8873145893292,446,9039,7.711915034848988,235,114,48.51063829787234,2,37361,27922,133.80488503688846,1345,28194,8.071504575441583,-9.843971631205683,0,-6.917570447559271,-0.3595895405925953,-899
Punjab Kings,Mumbai Indians,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,264,119,45.07575757575758,2,42861,31510,136.02348460806093,1508,31068,8.286404016994979,277,151,54.51263537906137,2,45087,33322,135.3070043814897,1707,33427,7.899961109282914,-9.436877803303794,0,0.7164802265712353,0.38644290771206524,-199
